feature,importance
ema_gap,0.09122250276837192
ema_gap_ratio,0.09071444568006093
spread_atr_ratio,0.06006031980391968
atr_ratio,0.0599872477229152
atr14,0.05651123265678093
candle_range,0.05432761662490325
return_3,0.05364917749405557
volume_change,0.05229559738124504
rsi14,0.05026717381345074
return_6,0.049869762801881753
return_1,0.049676157721635875
hour_utc,0.04470721616811507
ema100,0.042495385136304326
close,0.041307339507080904
return_12,0.03986495122385821
ema50,0.038716126056036006
candle_body,0.0383618990182675
tick_volume,0.03277190318143099
body_ratio,0.02915737172818533
day_of_week,0.013463033279036887
spread,0.006927495947447623
direction_value,0.003646044285015995
