ema_short,ema_long,sl_atr,tp_atr,spread_limit,folds,total_test_trades,average_test_trades,median_test_pf,average_test_pf,average_test_return,median_test_return,worst_test_return,average_test_dd,worst_test_dd,positive_return_folds,pf_over_one_folds,positive_fold_ratio,pf_over_one_ratio
50,100,1.5,2.0,0.4,4,54,13.5,1.3179876161862496,inf,1.4788027279297289,1.1328046867906338,0.9276821390528767,2.096743413057609,3.583724026491785,4,4,1.0,1.0
50,100,1.5,3.0,0.4,4,50,12.5,1.4043150146807322,inf,1.6275612654467808,1.3871026033353995,-0.48785725837605654,2.6962570790925384,5.31884127967831,3,3,0.75,0.75
50,100,1.5,1.5,0.4,4,54,13.5,1.044852132339129,inf,0.0018182186280191193,0.11847676083687197,-1.1105519800690855,2.3544454387822515,4.04480996250781,2,2,0.5,0.5
20,50,1.0,2.0,0.25,4,38,9.5,0.6857908638626005,1.4363933437257168,-1.0283736680007345,-1.6787327435845323,-3.497229296627069,3.0950131497659505,6.35994448796064,1,1,0.25,0.25
10,30,2.0,3.0,0.6,4,196,49.0,0.6614885977026052,0.7119394251789921,-9.503483334015819,-11.356007747905167,-16.458317839974313,11.559900248579895,16.458317839974317,1,1,0.25,0.25
50,100,1.5,3.0,0.6,4,114,28.5,0.6186364123850225,0.6871864159952831,-4.381925236749002,-3.2610819364781385,-12.342278183818145,6.5222431158945735,13.875983784314998,1,1,0.25,0.25
20,50,1.0,1.5,0.25,4,37,9.25,0.6083766642112123,1.1243117659515058,-1.4874176245859654,-1.9450240561652843,-3.9124099255457123,3.153069636909561,5.93609101704871,1,1,0.25,0.25
50,100,2.0,3.0,0.6,4,57,14.25,0.5913041924709244,0.7172157506071035,-2.1190587873315514,-2.250202221782871,-5.986384483111906,4.003774200903748,8.412385661733042,1,1,0.25,0.25
20,50,1.0,3.0,0.25,4,33,8.25,0.5685737534592391,1.9245337444213317,-0.9725406964473327,-1.058055361286686,-6.292077319531597,3.6476783257021546,7.486185806025933,1,1,0.25,0.25
10,30,1.0,2.0,0.25,4,61,15.25,0.5566335365200988,0.9622639508719211,-2.8687631395877102,-3.5945959949090387,-9.007586253165101,5.109872495902859,9.007586253165101,1,1,0.25,0.25
10,30,1.0,3.0,0.25,4,64,16.0,0.556523135214497,1.0247963970526617,-2.5929146016769544,-3.587327819056008,-10.621676031408933,5.742380576483317,10.621676031408933,1,1,0.25,0.25
10,30,1.0,1.5,0.25,4,62,15.5,0.5148833600376213,0.7704020669776948,-3.693646398982875,-4.362035376812656,-8.911754326962896,5.589513675494042,9.811038144706021,1,1,0.25,0.25
50,100,2.0,2.0,0.6,4,56,14.0,0.7227941841519585,0.6733127564846321,-1.7821546078847839,-1.6712595480359527,-3.4978580744336796,3.6704567514495983,6.867413644029348,0,0,0.0,0.0
10,30,2.0,2.0,0.6,4,203,50.75,0.6632954590943279,0.6488478153753829,-9.732898481048194,-10.442103875993642,-15.912885134382538,10.87257352085173,15.91288513438254,0,0,0.0,0.0
50,100,1.0,3.0,0.4,4,96,24.0,0.6433889695252308,0.5220632475725474,-4.353157069309074,-3.9631799773852228,-8.231629267474105,5.714392399755544,9.714105457917412,0,0,0.0,0.0
50,100,2.0,1.5,0.6,4,56,14.0,0.6259943119434519,0.6198698798506483,-2.6738487590866833,-2.403033088362755,-5.340799351290282,3.8322123257953784,7.060535146242164,0,0,0.0,0.0
50,100,1.5,1.5,0.6,4,114,28.5,0.6194259389142913,0.6144600712245731,-5.369427560148687,-4.321503226278928,-11.448545306431058,6.450214813766065,12.254971502904588,0,0,0.0,0.0
10,30,1.0,3.0,0.4,4,395,98.75,0.6190629629401201,0.6560567425997514,-15.471257923168547,-11.510242798740073,-33.965940509396816,20.0701077794719,39.74022855333875,0,0,0.0,0.0
10,30,1.5,2.0,0.4,4,168,42.0,0.6139614778995,0.5937298102460836,-8.43403127127696,-6.41246336459067,-18.41567508317894,10.433298471171266,19.277624904120643,0,0,0.0,0.0
10,30,1.5,3.0,0.4,4,170,42.5,0.6111291004417863,0.4615258153796358,-11.45933422967105,-11.913684681822211,-18.23535149991612,12.58581306814554,20.9258517952969,0,0,0.0,0.0
10,30,1.5,3.0,0.6,4,376,94.0,0.5762561060477083,0.579241115798858,-22.00074512973374,-24.823713997524532,-31.08549227864591,23.781379339568645,31.5517422953076,0,0,0.0,0.0
10,30,1.0,2.0,0.4,4,418,104.5,0.5676178302002786,0.6135905073750217,-15.756248567630252,-13.786581867686454,-30.20704451468694,19.095146438159425,37.331273838713216,0,0,0.0,0.0
50,100,1.5,2.0,0.6,4,112,28.0,0.5664767364383084,0.5916440676358613,-5.15734124697482,-3.554448426405693,-12.69913950450816,6.702931558614691,14.16760694515956,0,0,0.0,0.0
20,50,1.0,2.0,0.4,4,231,57.75,0.5663659804169214,0.5216783808051157,-11.614506964856991,-9.239990521806874,-27.115155173066764,14.400454692853636,31.86832437430737,0,0,0.0,0.0
10,30,1.5,1.5,0.4,4,169,42.25,0.5571538609720168,0.5086186729714413,-9.673360068813118,-9.692779812953368,-16.496000506967324,10.239334977573554,17.159426392628678,0,0,0.0,0.0
10,30,1.0,1.5,0.4,4,415,103.75,0.5503229397830278,0.5704385185198595,-16.19252993393868,-14.653718044029157,-29.09118169972623,19.52442266171427,35.47203701619983,0,0,0.0,0.0
50,100,1.0,2.0,0.4,4,98,24.5,0.5501857045883731,0.49946005877464383,-3.8082968895311264,-3.0937317017058765,-7.791085099721007,5.676696492282176,9.095139691389647,0,0,0.0,0.0
10,30,2.0,1.5,0.6,4,199,49.75,0.5379578142594689,0.5848104352775458,-10.720034589158667,-13.108914297379497,-14.30880779907,11.505639797649206,14.874694245067738,0,0,0.0,0.0
20,50,1.5,3.0,0.6,4,239,59.75,0.5359993079153083,0.5017511274483859,-15.978995257772368,-18.201311386656016,-19.74065225366245,17.322647685935024,20.91141291522441,0,0,0.0,0.0
20,50,1.0,3.0,0.4,4,225,56.25,0.5355074330973654,0.46045327466680724,-13.42717742956778,-11.879310712555469,-26.195305534367886,15.531945267214411,33.56126759969133,0,0,0.0,0.0
20,50,1.5,1.5,0.4,4,100,25.0,0.5204361216536058,0.41326862083381455,-7.242434340543283,-5.960943640896222,-12.527879131624198,8.879903742230432,14.230015021169354,0,0,0.0,0.0
20,50,1.0,1.5,0.4,4,232,58.0,0.514841889312772,0.46408952553195565,-12.826452775626493,-10.127015891068275,-28.013566754489926,14.765873732395724,31.774527590225297,0,0,0.0,0.0
10,30,1.5,2.0,0.6,4,383,95.75,0.5091761058516754,0.528607045071974,-22.44668859933732,-24.84680266899275,-31.80107994633663,23.085737479717213,31.80107994633663,0,0,0.0,0.0
20,50,1.5,2.0,0.4,4,101,25.25,0.5073993745713563,0.42955241389583193,-7.596805406774301,-6.009055106315209,-13.849140465710297,9.876952165940057,16.549876013092113,0,0,0.0,0.0
10,30,1.0,3.0,0.6,4,601,150.25,0.4933590115329962,0.4931447676776048,-37.10886449275471,-42.3671260678528,-46.47652617566648,38.04141079227119,47.52029333256487,0,0,0.0,0.0
20,50,1.5,1.5,0.6,4,233,58.25,0.48897662924084295,0.4656073984951915,-14.147623518506386,-15.389468069502477,-18.508998023426336,15.58826648745958,21.603737207398204,0,0,0.0,0.0
20,50,1.0,2.0,0.6,4,373,93.25,0.4835354708649278,0.4296275387988562,-24.04851799129061,-24.744540175343555,-34.93783275379057,26.2860637724811,39.60805972200458,0,0,0.0,0.0
10,30,1.5,1.5,0.6,4,385,96.25,0.4796533989788285,0.5041248461540522,-21.916176721211976,-24.721397777758497,-29.84103133342485,22.432845787861723,29.841031333424855,0,0,0.0,0.0
