direction,sl_atr,tp_atr,holding_bars,trades,wins,losses,win_rate,total_r,average_r,profit_factor,max_drawdown_r,stop_loss_count,take_profit_count,time_exit_count,skipped_count
BUY,1.0,1.5,12,6123,1266,4856,20.67613914747673,-3062.7818627798774,-0.5002093520790262,0.3630340678877193,3064.7818627798724,4781,1109,233,54
BUY,1.0,1.5,24,6068,1227,4841,20.220830586684247,-3022.944360515457,-0.4981780422734768,0.37418500015452943,3025.444360515455,4826,1191,51,108
BUY,1.0,1.5,48,5958,1192,4766,20.006713662302786,-2979.0678165632003,-0.5000113824375966,0.3744983721224635,2981.0678165632016,4762,1186,10,216
BUY,1.0,2.0,12,6123,1131,4990,18.471337579617835,-3048.867815811124,-0.4979369289255469,0.38116670250801593,3048.867815811119,4892,818,413,54
BUY,1.0,2.0,24,6068,1056,5011,17.402768622280817,-2996.7198488740974,-0.4938562704143206,0.39996478331498836,2996.87692087826,4987,965,116,108
BUY,1.0,2.0,48,5958,1016,4942,17.05270224907687,-2931.510808980549,-0.4920293402115725,0.4063195916744378,2931.5108089805462,4937,995,26,216
BUY,1.0,3.0,12,6123,1030,5090,16.82181936959007,-3011.522349535451,-0.4918377183628044,0.39951822809809656,3011.754059086255,4977,439,707,54
BUY,1.0,3.0,24,6068,892,5175,14.700065919578115,-2927.8128676020024,-0.4825004725777855,0.43142594665556355,2926.8128676020056,5137,629,302,108
BUY,1.0,3.0,48,5958,793,5165,13.309835515273583,-2934.8975692383565,-0.4925977793283579,0.4307758017838708,2933.897569238355,5154,707,97,216
BUY,1.5,1.5,12,6123,1999,4122,32.64739506777723,-2131.4938489140795,-0.34811266518276657,0.45590503268848226,2132.4938489140827,3798,1661,664,54
BUY,1.5,1.5,24,6068,1990,4077,32.79499011206328,-2088.994523872042,-0.34426409424390936,0.4804599413229782,2089.9945238720456,3991,1898,179,108
BUY,1.5,1.5,48,5958,1946,4012,32.66196710305472,-2069.1421557840436,-0.34728804225982607,0.48288500805683254,2070.142155784048,3998,1925,35,216
BUY,1.5,2.0,12,6123,1823,4297,29.772987097827862,-2111.5564839811814,-0.3448565219632829,0.4782584076406919,2110.8898173145185,3906,1219,998,54
BUY,1.5,2.0,24,6068,1773,4293,29.218852999340804,-2025.9365663755796,-0.33387220935655565,0.5190929021330425,2026.987835246532,4168,1563,337,108
BUY,1.5,2.0,48,5958,1720,4237,28.86874790198053,-1980.611483745945,-0.33242891637226335,0.5311357913777379,1980.9448170792812,4220,1661,77,216
